codigo,produto,categoria,fornecedor,estoque_atual,estoque_minimo,preco_custo,preco_venda,localizacao,validade
EST001,iPhone 15 Pro,Eletronicos,Apple Inc,25,5,4500.00,5999.99,A1-P1,2025-12-31
EST002,Samsung Galaxy S24,Eletronicos,Samsung,30,8,3200.00,4299.99,A1-P2,2025-12-31
EST003,MacBook Air M3,Eletronicos,Apple Inc,15,3,6800.00,8999.99,A2-P1,2025-12-31
EST004,Dell XPS 13,Eletronicos,Dell Inc,20,5,4900.00,6499.99,A2-P2,2025-12-31
EST005,iPad Pro 12.9,Eletronicos,Apple Inc,18,4,5500.00,7299.99,A1-P3,2025-12-31
EST006,Surface Pro 9,Eletronicos,Microsoft,22,6,4400.00,5799.99,A2-P3,2025-12-31
EST007,AirPods Pro 2,Eletronicos,Apple Inc,50,15,1400.00,1899.99,B1-P1,2025-06-30
EST008,Sony WH-1000XM5,Eletronicos,Sony,35,10,1200.00,1699.99,B1-P2,2025-06-30
EST009,Nintendo Switch OLED,Eletronicos,Nintendo,40,12,1700.00,2299.99,B2-P1,2025-12-31
EST010,PlayStation 5,Eletronicos,Sony,12,3,3000.00,3999.99,B2-P2,2025-12-31
EST011,Xbox Series X,Eletronicos,Microsoft,15,4,2850.00,3799.99,B2-P3,2025-12-31
EST012,Apple Watch Series 9,Eletronicos,Apple Inc,28,8,2100.00,2799.99,B1-P3,2025-12-31
EST013,Samsung Watch 6,Eletronicos,Samsung,32,10,1500.00,1999.99,B1-P4,2025-12-31
EST014,Canon EOS R6,Eletronicos,Canon,8,2,9800.00,12999.99,C1-P1,2025-12-31
EST015,Sony A7 IV,Eletronicos,Sony,6,2,11300.00,14999.99,C1-P2,2025-12-31
EST016,GoPro Hero 12,Eletronicos,GoPro,25,8,1900.00,2499.99,C1-P3,2025-12-31
EST017,DJI Mini 4 Pro,Eletronicos,DJI,10,3,3800.00,4999.99,C2-P1,2025-12-31
EST018,Kindle Oasis,Eletronicos,Amazon,45,15,980.00,1299.99,C2-P2,2025-12-31
EST019,Echo Dot 5a Gen,Eletronicos,Amazon,60,20,220.00,299.99,C2-P3,2025-12-31
EST020,Google Nest Hub,Eletronicos,Google,35,12,520.00,699.99,C2-P4,2025-12-31
EST021,Camiseta Basica Preta,Roupas,Hering,100,30,35.00,49.99,D1-P1,
EST022,Jeans Skinny Azul,Roupas,Levi's,75,25,95.00,129.99,D1-P2,
EST023,Tenis Nike Air Max,Roupas,Nike,50,15,300.00,399.99,D2-P1,
EST024,Adidas Ultraboost,Roupas,Adidas,40,12,340.00,449.99,D2-P2,
EST025,Jaqueta Jeans,Roupas,Wrangler,30,10,150.00,199.99,D1-P3,
EST026,Vestido Floral,Roupas,Zara,25,8,120.00,159.99,D3-P1,
EST027,Camisa Social Branca,Roupas,Dudalina,60,20,65.00,89.99,D3-P2,
EST028,Blazer Feminino,Roupas,Renner,20,6,190.00,249.99,D3-P3,
EST029,Shorts Jeans,Roupas,C&A,80,25,58.00,79.99,D1-P4,
EST030,Saia Midi Preta,Roupas,Riachuelo,35,12,90.00,119.99,D3-P4,
EST031,Moletom Capuz,Roupas,Adidas,45,15,110.00,149.99,D2-P3,
EST032,Legging Fitness,Roupas,Nike,70,20,50.00,69.99,D2-P4,
EST033,Cueca Boxer Kit 3un,Roupas,Lupo,90,30,42.00,59.99,D4-P1,
EST034,Sutia Esportivo,Roupas,Nike,55,18,58.00,79.99,D4-P2,
EST035,Meia Social Kit 5un,Roupas,Lupo,120,40,28.00,39.99,D4-P3,
EST036,Chinelo Havaianas,Roupas,Havaianas,150,50,22.00,29.99,D4-P4,
EST037,Bone Aba Curva,Roupas,New Era,80,25,35.00,49.99,D5-P1,
EST038,Oculos de Sol Ray-Ban,Roupas,Ray-Ban,25,8,300.00,399.99,D5-P2,
EST039,Relogio Casio Digital,Roupas,Casio,40,12,150.00,199.99,D5-P3,
EST040,Carteira Couro,Roupas,Samsonite,50,15,95.00,129.99,D5-P4,
EST041,Sofa 3 Lugares,Casa,Tok&Stok,8,2,1500.00,1999.99,E1-P1,
EST042,Mesa de Jantar 6 Lugares,Casa,Madesa,5,1,980.00,1299.99,E1-P2,
EST043,Cama Box Casal,Casa,Ortobom,12,3,680.00,899.99,E2-P1,
EST044,Guarda-roupa 6 Portas,Casa,Madesa,6,2,1200.00,1599.99,E2-P2,
EST045,Rack para TV,Casa,Madesa,15,5,380.00,499.99,E1-P3,
EST046,Poltrona Reclinavel,Casa,Tok&Stok,10,3,600.00,799.99,E1-P4,
EST047,Mesa de Centro,Casa,Madesa,20,6,260.00,349.99,E3-P1,
EST048,Estante Livros,Casa,Madesa,18,6,220.00,299.99,E3-P2,
EST049,Aparador Buffet,Casa,Tok&Stok,8,2,520.00,699.99,E3-P3,
EST050,Comoda 4 Gavetas,Casa,Madesa,12,4,340.00,449.99,E3-P4,